name,url,language,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,closed_issues_count,updated_issues_count,comment_frequency,dependents_count,criticality_score
aws-sdk-java,https://github.com/aws/aws-sdk-java,Java,131,0,208,7,0.2,104,78,107,2.2,6365,0.6981
assertj-core,https://github.com/assertj/assertj-core,Java,125,0,265,6,8.4,6,88,131,2.1,3215,0.69779
uaa,https://github.com/cloudfoundry/uaa,Java,112,0,216,8,17.1,18,81,104,1.8,638,0.69635
phoenix,https://github.com/apache/phoenix,Java,84,0,164,6,6.3,44,143,163,3.8,859,0.69544
flow,https://github.com/vaadin/flow,Java,173,0,186,4,16.0,99,549,770,1.4,829,0.69535
carbondata,https://github.com/apache/carbondata,Scala,58,0,212,7,7.7,7,114,146,16.7,119,0.69483
testng,https://github.com/cbeust/testng,Java,175,0,209,7,3.3,5,106,122,3.0,3111,0.69275
skywalking,https://github.com/apache/skywalking,Java,62,0,325,6,14.3,7,576,633,2.6,442,0.69262
nacos,https://github.com/alibaba/nacos,Java,31,0,178,5,13.2,12,766,898,2.4,2528,0.69246
zaproxy,https://github.com/zaproxy/zaproxy,Java,126,0,180,4,4.5,50,181,304,2.2,2339,0.69198
lombok,https://github.com/rzwitserloot/lombok,Java,140,0,126,10,5.1,3,94,166,3.5,2044,0.69196
graylog2-server,https://github.com/Graylog2/graylog2-server,Java,129,0,135,3,45.7,22,858,1252,0.6,1637,0.69137
akka-http,https://github.com/akka/akka-http,Scala,144,0,322,7,9.8,8,225,313,2.8,233,0.69062
dataverse,https://github.com/IQSS/dataverse,Java,87,0,210,3,32.8,7,196,326,2.1,2723,0.68907
k-9,https://github.com/k9mail/k-9,Java,148,0,289,5,13.0,23,231,317,1.1,626,0.68823
android,https://github.com/owncloud/android,Java,114,0,93,5,8.8,7,76,149,1.9,13114,0.68559
product-is,https://github.com/wso2/product-is,Java,81,0,169,4,15.5,57,1875,2748,0.4,1287,0.68492
commons-lang,https://github.com/apache/commons-lang,Java,224,0,198,6,9.6,5,65,86,1.4,6096,0.68473
flowable-engine,https://github.com/flowable/flowable-engine,Java,128,0,318,8,21.7,2,146,181,0.7,1749,0.68431
nuxeo,https://github.com/nuxeo/nuxeo,Java,156,0,187,2,20.4,67,213,226,1.4,3130,0.68319
debezium,https://github.com/debezium/debezium,Java,62,0,266,6,26.5,18,197,215,2.2,243,0.68201
bnd,https://github.com/bndtools/bnd,Java,164,0,110,9,15.1,8,136,174,1.8,846,0.68148
grpc-java,https://github.com/grpc/grpc-java,Java,74,0,238,3,13.0,19,292,353,1.7,1956,0.68143
redisson,https://github.com/redisson/redisson,Java,85,0,127,5,13.6,15,226,316,2.0,1400,0.68012
runelite,https://github.com/runelite/runelite,Java,74,0,638,0,25.5,36,349,619,1.1,9651,0.67986
Activiti,https://github.com/Activiti/Activiti,Java,128,0,271,8,2.9,1,46,97,0.5,34690,0.67877
reactor-core,https://github.com/reactor/reactor-core,Java,62,0,149,8,7.5,25,200,243,1.7,776,0.67852
spring-integration,https://github.com/spring-projects/spring-integration,Java,160,0,218,6,8.2,32,72,88,1.7,678,0.6783
crate,https://github.com/crate/crate,Java,94,0,88,6,25.6,10,338,380,1.1,1901,0.678
drools,https://github.com/kiegroup/drools,Java,183,0,212,5,10.5,12,170,188,3.6,261,0.67734
cldr,https://github.com/unicode-org/cldr,Java,224,0,73,5,9.2,14,164,184,2.3,2877,0.67713
